Rüblər,GDP,Dövlət_Gəlirləri,Dövlət_Xərcləri ,Əhalinin_nominal_gəlirləri,Əhalinin_banklardakı_əmanətləri,Orta_aylıq_əməkhaqqı,Xarici_ticarət_dövriyyəsi,İxrac,İdxal ,Pul_bazası,Oil_Price,Tikinti-quraşdırma_işlərinə_sərf_edilmiş_vəsait,İstehlak_xərcləri,Yaşayış_evlərinin_tikintisinə_yönəldilmiş_investisiyalar,Mənzil_qiymətləri,Uçot_faiz_dərəcəsi,Kumulyativ_satish,Nağd_pul_kredit_satışı,Portfel,NPLs,ROA ,ROE,Net_Interest_Margin,Efficiency_Ratio,Loan-to-Deposit_Ratio,Müştəri_sayı,Year,Quarter,NPL_percentage,Time_Index,Quarter_Sin,Quarter_Cos
2020 I,17928100.0,7810900.0,5254800.0,13442500.0,8251700.000000001,0.7445,11382010.0,6899110.000000001,4482900.0,10066900.0,0.08574799999999999,1963955.7,0.31892,288706.6,1.223936454864183,0.0725,46642841.49,46642841.49,359233.76244,25853.67393,0.004617578529628053,0.02968747836495729,0.02434257647134601,0.7690097062167015,1.306891253721413,25304.0,2020,1,7.196894232433995,0,1.0,6.123233995736766e-17
2020 II ,16450600.0,4211800.000000001,6475999.999999999,13935300.0,7706400.0,0.72,8593330.0,4594079.999999999,3999250.0,11251800.0,0.04988366666666667,2030799.300000001,0.28659,337427.2000000001,1.223569273927724,0.07,62352225.96,15709384.47,349405.74088,37211.27755,0.01425384778978069,0.07770286453946426,0.02654719751208918,0.71419429090324,1.316438994737806,16316.0,2020,2,10.649875830969775,1,1.2246467991473532e-16,-1.0
2020 III,17965600.00000001,5941799.999999999,6911299.999999999,14231200.0,7834300.0,0.7066,10336170.0,5518369.999999999,4817800.0,12230100.0,0.07303766666666667,2206427.100000001,0.2949,316308.7999999999,1.223446917000331,0.065,113609773.73,51257547.76999999,366496.28305,37871.29843,0.02184750934813576,0.1181324860732218,0.02728564062843211,0.7132890742379489,1.35494826648878,32598.0,2020,3,10.333337657570004,2,-1.0,-1.8369701987210297e-16
2020 IV,20233800.0,6708599.999999998,7775000.0,14117100.0,8177900.0,0.7072999999999999,10830360.0,5888120.000000001,4942240.000000001,13564200.0,0.075293,3152893.000000002,0.29778,424897.4,1.223569261692032,0.0625,140001771.45,26391997.72,337946.33647,26704.039340000003,0.03094270099955753,0.1658802826352805,0.02626729965385414,0.7365853660170351,1.236977769907378,28564.0,2020,4,7.901857915944759,3,-2.4492935982947064e-16,1.0
2021 I,19181900.0,5736400.0,5523700.0,13455900.0,8147500.0,0.7132000000000001,11962560.0,7660710.0,4301849.999999999,13315000.0,0.103394,1490116.699999999,0.3082,205773.4,1.247428862295026,0.0625,53293774.11,53293774.11,355393.13544,39606.83428,0.009507776492201015,0.05080283717090255,0.0258827469443373,0.7108418105950088,1.254305262774437,39842.0,2021,1,11.1445130280764,4,1.0,6.123233995736766e-17
2021 II,21581800.0,6018600.0,6066800.0,14124800.0,8435400.0,0.7243999999999999,12942950.0,8079760.0,4863190.0,13803000.0,0.1170166666666667,2537314.000000001,0.29073,262768.6,1.258281493396993,0.0625,128209588.96,74915814.85,389933.88746,42223.05931000001,0.02008638762240935,0.1083624241349157,0.02773291132082601,0.6789003499816731,1.322832269564644,49708.0,2021,2,10.828261063699244,5,1.2246467991473532e-16,-1.0
2021 III,23125300.0,6116599.999999998,6121400.000000002,14671000.0,8838100.0,0.7232000000000001,14473460.0,9452850.0,5020610.000000001,14498700.0,0.124899,2639269.700000001,0.30229,258691.1,1.285837858102387,0.065,199561147.47,71351558.51,409561.79125,41382.709579999995,0.03395251043976841,0.1783173068619701,0.02950487172718417,0.6670927293348451,1.313948968072142,48616.0,2021,3,10.10414312665696,6,-1.0,-1.8369701987210297e-16
2021 IV,29314200.0,8547500.0,9700099.999999998,14929800.0,9241500.0,0.7321,21066910.0,15352700.0,5714209.999999998,17937600.0,0.1352973333333333,3720371.7,0.30858,311437.8,1.290209706819935,0.07125000000000001,278480791.05,78919643.58000001,413861.2881600001,13569.91937092498,0.04635290564968184,0.2440877778986316,0.03211644949199505,0.6815215460047969,1.39376267980394,53615.0,2021,4,3.278856892186255,7,-2.4492935982947064e-16,1.0
2022 I,30037000.0,7009600.0,5629500.0,16000500.0,10372000.0,0.809,20730140.0,15754070.0,4976070.0,14359600.0,0.1705043333333333,1670214.9,0.31061938684,172795.1,1.306595370096548,0.07250000000000001,72867706.82000001,72867706.82000001,433990.71885,15813.584080000011,0.01883687332855961,0.09479219031089074,0.03202612057898808,0.622623161461014,1.463870465565343,50605.0,2022,1,3.643760890072318,8,1.0,6.123233995736766e-17
2022 II,33327400.0,7195900.0,7307100.0,16959200.0,10596200.0,0.8271000000000001,23275380.0,17444550.0,5830830.0,15652800.0,0.1930236666666666,2474698.0,0.316958558,214302.8,1.32135989777864,0.075,177278527.35,104410820.53,484832.6392399999,16162.045370000002,0.03190820428635022,0.178107173289735,0.03279213206348228,0.6006153302609915,1.507713105436333,61665.0,2022,2,3.3335308025744386,9,1.2246467991473532e-16,-1.0
